seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
28,S100VWUL,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G04051,030,07A000,120,2024-10-11,2025-04-10,2025-07-09 09:06,有価証券報告書（内国投資信託受益証券）－第42期(2024/10/11－2025/04/10),,,,,,,0,0,0,1,1,1,0,1,1
29,S100WAAE,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11740,030,04A001,040,,,2025-07-09 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VJBH,,0,0,0,1,1,1,0,1,1
30,S100WA8R,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11296,030,04A001,040,,,2025-07-09 09:07,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VJB8,,0,0,0,1,1,1,0,1,1
31,S100VWUO,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G04051,030,04A001,040,,,2025-07-09 09:07,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UWFH,,0,0,0,1,1,1,0,1,1
32,S100WBWK,E01445,59410,3120001018349,株式会社　中西製作所,,010,170000,220,,,2025-07-09 09:07,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
33,S100WBGB,E36154,,,田畑　正吾,,060,010002,350,,,2025-07-09 09:07,変更報告書,E34973,,,,,,0,0,0,1,1,0,0,1,1
34,S100WBUJ,E03640,85580,2070001003514,株式会社東和銀行,,010,170000,220,,,2025-07-09 09:08,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
35,S100VVK7,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G02752,030,04A000,030,,,2025-07-09 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
36,S100VXV7,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G15343,030,07A000,120,2024-10-31,2025-04-10,2025-07-09 09:08,有価証券報告書（内国投資信託受益証券）－第1期(2024/10/31－2025/04/10),,,,,,,0,0,0,1,1,1,0,1,1
37,S100VWUQ,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G10132,030,10A000,160,2024-10-11,2025-10-10,2025-07-09 09:08,半期報告書（内国投資信託受益証券）－第12期(2024/10/11－2025/10/10),,,,,,,0,0,0,1,1,0,0,1,1
